Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric",139.446000,-86.614000,-90.000000,top
"C2","1uF","C_0805_2012Metric",137.414000,-86.614000,-90.000000,top
"C3","1uF","C_0805_2012Metric",176.530000,-92.898000,-90.000000,top
"C4","22p","C_0805_2012Metric",156.210000,-92.100400,-90.000000,top
"C5","22p","C_0805_2012Metric",150.114000,-92.024200,90.000000,top
"C6","1uF","C_0805_2012Metric",172.720000,-87.122000,180.000000,top
"C7","1uF","C_0805_2012Metric",172.720000,-89.154000,180.000000,top
"C8","1uF","C_0805_2012Metric",178.816000,-92.898000,-90.000000,top
"C13","1uF","C_0805_2012Metric",172.720000,-85.090000,0.000000,top
"C15","1uF","C_0805_2012Metric",143.764000,-84.900000,180.000000,top
"D1","VBUS","LED_0603_1608Metric",124.968000,-92.456000,180.000000,top
"D2","3V3","LED_0603_1608Metric",161.036000,-91.922500,90.000000,top
"D3","VCC","LED_0603_1608Metric",159.512000,-91.922500,90.000000,top
"D4","RXL","LED_0603_1608Metric",146.050000,-92.227500,-90.000000,top
"D5","TXL","LED_0603_1608Metric",147.828000,-92.227500,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",124.392000,-86.352000,-90.000000,top
"J2","DE9_Receptacle","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",196.042000,-80.810000,90.000000,top
"J3*","NC","PinHeader_1x03_P2.54mm_Vertical",157.988000,-83.835000,0.000000,top
"J4","RXTX","PinHeader_2x02_P2.54mm_Vertical",181.102000,-73.660000,0.000000,top
"J5","RTSCTS","PinHeader_2x02_P2.54mm_Vertical",188.722000,-73.660000,0.000000,top
"J6","DTRDSR","PinHeader_2x02_P2.54mm_Vertical",181.102000,-96.520000,0.000000,top
"J7","DCD","PinHeader_2x02_P2.54mm_Vertical",188.722000,-96.520000,0.000000,top
"J8","NC","PinHeader_2x05_P2.54mm_Vertical",188.722000,-81.280000,0.000000,top
"J9","NC","PinHeader_2x06_P2.54mm_Vertical",132.072000,-80.002000,0.000000,top
"J10","NC","PinHeader_1x02_P2.54mm_Vertical",176.530000,-97.790000,-135.000000,top
"J11","UART","PinHeader_1x06_P2.54mm_Vertical",166.370000,-92.710000,180.000000,top
"J12","NC","PinHeader_1x09_P2.54mm_Vertical",143.510000,-80.010000,90.000000,top
"J13","NC","PinHeader_1x02_P2.54mm_Vertical",176.700000,-73.900000,-45.000000,top
"R1","5k1","R_0805_2012Metric",128.619500,-80.002000,0.000000,top
"R2","5k1","R_0805_2012Metric",125.247400,-80.002000,0.000000,top
"R3","NC","R_0805_2012Metric",143.750000,-82.925000,0.000000,top
"R4","5k1","R_0805_2012Metric",172.804500,-83.058000,0.000000,top
"R5","5k1","R_0805_2012Metric",138.279500,-80.010000,180.000000,top
"R6","5k1","R_0805_2012Metric",177.292000,-79.351500,-90.000000,top
"R7","5k1","R_0805_2012Metric",128.412500,-92.702000,0.000000,top
"R8","5k1","R_0805_2012Metric",160.528000,-87.272500,-90.000000,top
"R9","5k1","R_0805_2012Metric",162.814000,-91.797500,-90.000000,top
"R10","5k1","R_0805_2012Metric",143.764000,-91.948000,90.000000,top
"R11","5k1","R_0805_2012Metric",143.764000,-88.796500,-90.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",150.876000,-86.360000,90.000000,top
"U3","MIC5504-3.3YM5","SOT-23-5",138.099800,-82.804000,180.000000,top
"U5","SP3243EUCY","SSOP-28_5.3x10.2mm_P0.65mm",181.102000,-86.360000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",153.078000,-92.036000,0.000000,top
